Post ID,Account Username,Type of Post,Date,Day of Week,Time of Day,Likes,Comments,Caption,Hashtags,Tagged Users,Is Video,View Count (if video),Engagement Score,Viewer Engagement Score
3419126402220480132,adidas,GraphVideo,2024-07-24,Wednesday,09:07:41,17189,2485,Summer’s biggest stage is set #YouGotThis,#YouGotThis,"nojo18, fgustavoo, sasha.zhoya, sumeyyeboyacii",True,222296.0,42.13,8.85
3433865888938457061,adidas,GraphSidecar,2024-08-13,Tuesday,17:05:34,11857,159,"LA 2028 is four years away, but the pressure to qualify is already on.

Luckily, @merylandcgh knows exactly how to deal with it – make fun punch harder than pressure. 

#YouGotThis Meryland.",#YouGotThis,"adidasboxing, merylandcgh",False,,25.73,
3435344265201531323,adidas,GraphVideo,2024-08-15,Thursday,18:05:47,8566,339,"Until next time… 
 
#Paris2024 #YouGotThis","#Paris2024, #YouGotThis","rebecarandrade, theanthonyedwards_, tomdaley, nojo18, antoinedupont9, annaa.hall, trinity_rodman, molly_caudery, kieranbmxreilly, jessfoxcanoe, akani_simbine, daryllneita, flaamingoo_, andreassirieix04, rosezhang, staceywaaka, dogg8bg, tylanathanwong, cadenluiscunningham",True,79774.0,19.07,11.16
3447113610029172257,adidas,GraphSidecar,2024-08-31,Saturday,23:46:26,9901,55,"Gold in the air🥇 

It’s a Gold medal and a new World Record for @jumpingjoe_19 in the Men’s Long Jump T63 at the #Paris2024 Paralympics Games. 

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, jumpingjoe_19",False,,21.32,
3446708222054923768,adidas,GraphSidecar,2024-08-31,Saturday,10:21:00,18577,74,Only the best for our athletes ⭐️,,"ohsu.o_o, _klc215, mattiaafurlanii, yemimagdalena, shishoouuuu, thealafond, tami_tola",False,,39.94,
3448214004487577805,adidas,GraphSidecar,2024-09-02,Monday,12:12:43,14049,53,"Triple Amenaza🔥 

@susirodriguezgacio wins 🥇 in the Women’s Triathlon VI at the #Paris2024 Paralympics 🙌 

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, adidas_es, susirodriguezgacio",False,,30.2,
3449135102410538293,adidas,GraphImage,2024-09-03,Tuesday,18:42:46,8972,31,"Gold is her gear🥇@kimberly_alkemade has just smashed the Paralympic record in the Women’s T64 200m to win Gold at #Paris2024 🔥

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, kimberly_alkemade",False,,19.28,
3450538849321765202,adidas,GraphImage,2024-09-05,Thursday,17:11:46,23525,123,"Lightening strikes again ⚡️🇬🇷 @ghavelas_a100 wins Gold in the Men’s 100m T11 at the #Paris2024 at the Paralympics 🔥🥇

#YouGotThis","#Paris2024, #YouGotThis","adidasrunning, ghavelas_a100",False,,50.64,
3452050786383705199,adidas,GraphSidecar,2024-09-07,Saturday,19:15:43,11363,67,"Champions Only. 🙌 @ksholloway wins Gold at the #Paris2024 Paralympics in the Women’s Sitting Volleyball 🏐🔥🥇

#YouGotThis","#Paris2024, #YouGotThis","adidasvolleyball, ksholloway",False,,24.48,
3463547364087960533,adidas,GraphVideo,2024-09-23,Monday,16:05:44,16925,138,It’s only a kick. #YouGotThis,#YouGotThis,"patrickmahomes, adidasfballus",True,107312.0,36.54,15.9
3465005511295005087,adidas,GraphVideo,2024-09-25,Wednesday,16:16:08,35336,243,Ignore the noise. #YouGotThis,#YouGotThis,"adidasbasketball, aliyah.boston",True,246200.0,76.19,14.45
3466900038054250182,adidas,GraphVideo,2024-09-28,Saturday,07:00:05,15146,134,Introducing Climacool. Unlocking possibilities 🤝,,gabrielomoses,True,85316.0,32.72,17.91
3466931373774975853,adidas,GraphSidecar,2024-09-28,Saturday,08:00:47,54872,295,Made like nothing. Feels like nothing. Looks like nothing. Introducing Climacool.,,gabrielomoses,False,,118.13,
3468597392998180156,adidas,GraphVideo,2024-09-30,Monday,15:11:25,30603,192,It’s only a shot. #YouGotThis,#YouGotThis,"theanthonyedwards_, adidasbasketball",True,144071.0,65.94,21.37
3487965381455416390,adidas,GraphImage,2024-10-27,Sunday,08:31:36,32606,169,"3.86km in the open water, 180.25km on the bike and a 42.19km run - in a new Ironman course record of 7 hours, 35 minutes and 53 seconds. 

The three time King of Kona @patricklange1 🏃‍♂️🏊‍♂️🚴‍♂️🥇

👟 #adizero Adios Pro Evo 1

#YouGotThis","#adizero, #YouGotThis","adidasrunning, adidasberlin, patricklange1",False,,70.18,
