Post ID,Account Username,Type of Post,Date,Day of Week,Time of Day,Likes,Comments,Caption,Hashtags,Play Count,Follower Count,Engagement Score,Relative Engagement Score,Viewer Engagement Score
7431647781263019297,adidas,video,2024-10-30,Wednesday,19:09:07,91682,3593,how many did you get right? 🤔#realorcake #F50 #football #adidas ,"#realorcake, #F50, #football, #adidas",1415068,8658485,1.1003657106295155,641.97,6.73
7426384818117594400,adidas,video,2024-10-16,Wednesday,14:46:04,92440,361,graphic design is my passion🥸 #belligold #judebellingham #footballboots #football #adidas,"#belligold, #judebellingham, #footballboots, #football, #adidas",961176,8658485,1.071792582651584,625.3,9.65
7431968719347158304,adidas,video,2024-10-31,Thursday,15:54:27,71501,18436,Why have two jackets when you can have a @Korn jacket ❤️‍🔥🔥🤷‍♂️  #adidas #KoRn ,"#adidas, #KoRn",506400,8658485,1.0387152024863473,606.0,17.76
7415293102052625697,adidas,video,2024-09-16,Monday,17:24:31,73042,256,Y’all still don’t understand? 🤌 #fashionweek #londonfashionweek #arsenal #calafiori #myleslewis #adidas,"#fashionweek, #londonfashionweek, #arsenal, #calafiori, #myleslewis, #adidas",892034,8511087,0.8612060950616531,502.44,8.22
7434607830654602529,adidas,video,2024-11-07,Thursday,18:35:36,19312,47483,fresh delivery for the fam 🙏@Jalen Green🖤 @J-DUB @Giovanna Ramos  #iiinfinity #basketball #adidas,"#iiinfinity, #basketball, #adidas",307338,8658485,0.7714398073104013,450.07,21.73
7452013370338790689,adidas,video,2024-12-24,Tuesday,16:17:57,57481,962,I give the best gifts 🎁 @James Harden #happyholidays #hardenvol9 #basketball #adidas ,"#happyholidays, #hardenvol9, #basketball, #adidas",581699,8761479,0.667044913307445,389.17,10.05
7429249544023493920,adidas,video,2024-10-24,Thursday,08:02:47,56490,411,imagine showing off like this ⚽️⚽️⚽️ #raphinha #hattrick #football #adidas ,"#raphinha, #hattrick, #football, #adidas",438773,8658485,0.6571703941278411,383.4,12.97
7434200174899121441,adidas,video,2024-11-06,Wednesday,16:13:44,5573,44671,☁️ dreaming of Wales Bonner Superstars 😴 #walesbonner #superstar #unboxing #adidas,"#walesbonner, #superstar, #unboxing, #adidas",164118,8658485,0.5802862740999147,338.55,30.61
7434545726815767840,adidas,multi_photo,2024-11-07,Thursday,14:34:39,13006,32961,best followers in the world #adidas ,#adidas,344583,8658485,0.5308896417791334,309.73,13.34
7446855398277025057,adidas,video,2024-12-10,Tuesday,18:42:22,44137,540,@Rafael Leão’s #1 nutrition secret👆 #strictdiet #football #aruku #adidas ,"#1, #strictdiet, #football, #aruku, #adidas",306644,8709551,0.5129655937487477,299.27,14.57
